student_id,lesson,absent,score,concept,calculate,interpret,tier
S001,6,false,0.623,0.601,0.65,0.618,t2
S002,6,false,0.366,0.354,0.397,0.348,t1
S003,6,false,0.486,0.419,0.605,0.433,t1
S004,6,false,0.335,0.397,0.341,0.267,t1
S005,6,false,1.0,1.0,1.0,1.0,t3
S006,6,false,0.73,0.776,0.706,0.708,t2
S007,6,false,0.698,0.651,0.613,0.829,t2
S008,6,false,0.346,0.244,0.437,0.358,t1
S009,6,false,1.0,1.0,1.0,1.0,t3
S010,6,false,1.0,1.0,1.0,1.0,t3
S011,6,false,0.478,0.427,0.426,0.582,t1
S012,6,false,0.766,0.811,0.785,0.702,t2
S013,6,false,0.868,0.881,0.863,0.861,t3
S014,6,false,0.906,0.832,1.0,0.885,t3
S015,6,false,0.935,0.943,1.0,0.862,t3
S016,6,false,1.0,1.0,1.0,1.0,t3
S017,6,false,1.0,1.0,1.0,1.0,t3
S018,6,false,0.843,1.0,1.0,0.53,t3
S019,6,false,0.985,1.0,1.0,0.956,t3
S020,6,false,0.648,0.716,0.73,0.499,t2
S021,6,false,0.493,0.486,0.482,0.512,t1
S022,6,false,0.767,0.843,0.828,0.629,t2
S023,6,false,0.887,0.931,0.79,0.939,t3
S024,6,false,1.0,1.0,1.0,1.0,t3
S025,6,false,1.0,1.0,1.0,1.0,t3
S026,6,false,0.59,0.741,0.542,0.488,t2
S027,6,false,0.629,0.69,0.673,0.524,t2
S028,6,false,0.539,0.57,0.516,0.53,t2
S029,6,false,0.789,0.914,0.715,0.738,t2
S030,6,false,1.0,1.0,1.0,1.0,t3
S031,6,false,1.0,1.0,1.0,1.0,t3
S032,6,false,0.791,0.852,0.816,0.706,t2
S033,6,false,0.657,0.604,0.654,0.712,t2
S034,6,false,0.938,0.929,1.0,0.885,t3
S035,6,false,0.685,0.713,0.798,0.545,t2
S036,6,false,0.642,0.634,0.615,0.677,t2
S037,6,false,0.817,1.0,1.0,0.45,t3
S038,6,false,0.551,0.632,0.445,0.576,t2
S039,6,false,0.747,0.825,0.658,0.757,t2
S040,6,false,1.0,1.0,1.0,1.0,t3
S041,6,false,0.674,0.652,0.702,0.668,t2
S042,6,false,0.672,0.759,0.614,0.644,t2
S043,6,false,0.989,0.968,1.0,1.0,t3
S044,6,false,0.73,1.0,0.275,0.915,t2
S045,6,false,0.898,0.842,0.975,0.878,t3
S046,6,false,0.87,0.764,0.994,0.852,t3
S047,6,false,0.86,0.836,0.997,0.747,t3
S048,6,false,0.866,0.905,0.917,0.775,t3
S049,6,false,0.596,0.578,0.61,0.601,t2
S050,6,false,0.76,0.743,0.704,0.834,t2
S051,6,false,0.756,0.825,0.708,0.736,t2
S052,6,false,0.984,1.0,1.0,0.952,t3
S053,6,false,0.71,0.727,0.695,0.709,t2
S054,6,false,0.926,0.844,1.0,0.934,t3
S055,6,false,0.599,0.604,0.693,0.5,t2
S056,6,false,0.485,0.559,0.472,0.425,t1
S057,6,false,0.654,0.711,0.684,0.568,t2
S058,6,false,0.984,1.0,0.951,1.0,t3
S059,6,false,0.281,0.269,0.222,0.351,t1
S060,6,false,0.92,0.997,0.894,0.869,t3
S061,6,false,0.883,0.994,0.856,0.799,t3
S062,6,false,0.528,0.523,0.523,0.539,t2
S063,6,false,0.552,0.468,0.661,0.528,t2
S064,6,false,0.88,0.845,0.972,0.822,t3
S065,6,false,0.747,0.69,0.732,0.818,t2
S066,6,false,0.888,0.896,1.0,0.769,t3
S067,6,false,0.97,0.91,1.0,1.0,t3
S068,6,false,0.824,0.858,0.825,0.788,t3
S069,6,false,0.993,0.978,1.0,1.0,t3
S070,6,false,0.856,0.747,0.98,0.842,t3
S071,6,false,0.944,1.0,0.911,0.921,t3
S072,6,false,0.819,0.756,0.797,0.905,t3
S073,6,false,0.903,1.0,0.891,0.817,t3
S074,6,false,0.415,0.515,0.415,0.315,t1
S075,6,false,0.983,1.0,1.0,0.948,t3
S076,6,false,0.925,0.981,0.84,0.954,t3
S077,6,false,0.889,0.842,0.997,0.829,t3
S078,6,false,1.0,1.0,1.0,1.0,t3
S079,6,false,0.582,0.6,0.625,0.52,t2
S080,6,false,0.665,0.638,0.692,0.666,t2
S081,6,false,0.605,0.622,0.51,0.684,t2
S082,6,false,0.64,0.523,0.764,0.633,t2
S083,6,false,1.0,1.0,1.0,1.0,t3
S084,6,false,0.428,0.567,0.392,0.325,t1
S085,6,false,1.0,1.0,1.0,1.0,t3
S086,6,false,0.977,1.0,0.93,1.0,t3
S087,6,false,0.66,0.754,0.662,0.565,t2
S088,6,false,0.751,0.764,0.693,0.797,t2
S089,6,false,0.895,1.0,0.787,0.897,t3
S090,6,false,0.841,0.911,0.853,0.759,t3
S091,6,false,0.833,1.0,1.0,0.5,t3
S092,6,false,1.0,1.0,1.0,1.0,t3
S093,6,false,0.541,0.466,0.678,0.479,t2
S094,6,false,0.672,0.667,0.714,0.635,t2
S095,6,false,0.888,0.831,0.964,0.869,t3
S096,6,false,1.0,1.0,1.0,1.0,t3
S097,6,false,0.592,0.671,0.438,0.666,t2
S098,6,false,0.513,0.425,0.51,0.603,t2
S099,6,false,0.584,0.617,0.645,0.491,t2
S100,6,false,0.784,0.698,0.923,0.731,t2
S101,6,false,0.99,1.0,1.0,0.97,t3
S102,6,false,0.722,0.768,0.793,0.606,t2
S103,6,false,0.974,1.0,0.969,0.952,t3
S104,6,false,0.829,0.845,0.894,0.748,t3
S105,6,false,0.884,0.831,0.929,0.891,t3
S106,6,false,0.477,0.518,0.481,0.431,t1
S107,6,false,0.715,0.739,0.716,0.69,t2
S108,6,false,0.829,0.846,0.784,0.858,t3
S109,6,false,0.487,0.488,0.525,0.448,t1
S110,6,false,0.364,0.343,0.466,0.284,t1
S111,6,false,1.0,1.0,1.0,1.0,t3
S112,6,false,0.794,0.838,0.833,0.71,t2
S113,6,false,0.558,0.461,0.564,0.648,t2
S114,6,false,0.998,1.0,1.0,0.994,t3
S115,6,false,0.436,0.586,0.382,0.34,t1
S116,6,false,0.798,0.735,0.948,0.71,t2
S117,6,false,0.697,1.0,0.225,0.865,t2
S118,6,false,1.0,1.0,1.0,1.0,t3
S119,6,false,0.382,0.36,0.417,0.369,t1
S120,6,false,0.817,0.839,0.809,0.803,t3
S121,6,false,0.532,0.565,0.565,0.465,t2
S122,6,false,0.629,0.714,0.61,0.564,t2
S123,6,false,0.984,1.0,0.963,0.988,t3
S124,6,false,0.599,0.597,0.618,0.582,t2
S125,6,false,0.551,0.545,0.495,0.612,t2
S126,6,false,0.798,0.865,0.765,0.765,t2
S127,6,false,0.788,0.698,0.867,0.8,t2
S128,6,false,0.953,0.928,0.943,0.987,t3
S129,6,false,0.734,0.794,0.866,0.543,t2
S130,6,false,0.847,0.748,0.933,0.859,t3
S131,6,false,0.956,0.889,1.0,0.978,t3
S132,6,false,0.608,0.554,0.698,0.571,t2
S133,6,false,1.0,1.0,1.0,1.0,t3
S134,6,false,0.573,0.503,0.618,0.599,t2
S135,6,false,0.628,0.707,0.504,0.674,t2
S136,6,false,0.626,0.612,0.661,0.604,t2
S137,6,false,0.799,0.787,0.747,0.864,t2
S138,6,false,0.953,0.986,1.0,0.872,t3
S139,6,false,0.581,0.669,0.55,0.524,t2
S140,6,false,0.57,0.652,0.576,0.483,t2
S141,6,false,1.0,1.0,1.0,1.0,t3
S142,6,false,1.0,1.0,1.0,1.0,t3
S143,6,false,0.546,0.404,0.644,0.59,t2
S144,6,false,0.921,1.0,0.913,0.849,t3
S145,6,false,0.535,0.487,0.598,0.521,t2
S146,6,false,0.66,0.666,0.707,0.608,t2
S147,6,false,0.682,0.605,0.735,0.707,t2
S148,6,false,0.359,0.317,0.328,0.432,t1
S149,6,false,0.47,0.56,0.556,0.294,t1
S150,6,false,1.0,1.0,1.0,1.0,t3
S151,6,false,0.862,0.869,0.89,0.826,t3
S152,6,false,0.653,0.746,0.665,0.548,t2
S153,6,false,0.968,1.0,0.924,0.98,t3
S154,6,false,0.999,1.0,0.998,1.0,t3
S155,6,false,0.995,1.0,1.0,0.985,t3
S156,6,false,0.482,0.457,0.506,0.482,t1
S157,6,false,0.998,1.0,1.0,0.993,t3
S158,6,false,0.502,0.537,0.558,0.41,t2
S159,6,false,0.953,0.938,0.921,1.0,t3
S160,6,false,0.707,0.7,0.664,0.756,t2
S161,6,false,0.902,0.91,0.897,0.898,t3
S162,6,false,0.911,0.964,1.0,0.768,t3
S163,6,false,1.0,1.0,1.0,1.0,t3
S164,6,false,0.531,0.552,0.592,0.45,t2
S165,6,false,0.292,0.31,0.286,0.28,t1
S166,6,false,0.738,0.729,0.772,0.714,t2
S167,6,false,0.954,0.995,0.961,0.905,t3
S168,6,false,0.77,0.864,0.704,0.741,t2
