student_id,lesson,absent,score,concept,calculate,interpret,tier
S001,3,false,0.494,0.472,0.521,0.489,t1
S002,3,false,0.297,0.285,0.328,0.279,t1
S003,3,false,0.417,0.35,0.536,0.364,t1
S004,3,false,0.245,0.307,0.251,0.177,t1
S005,3,false,1.0,1.0,1.0,1.0,t3
S006,3,false,0.601,0.647,0.577,0.579,t2
S007,3,false,0.569,0.522,0.484,0.7,t2
S008,3,false,0.277,0.175,0.368,0.289,t1
S009,3,false,0.962,0.938,1.0,0.948,t3
S010,3,false,1.0,1.0,1.0,1.0,t3
S011,3,false,0.388,0.337,0.336,0.492,t1
S012,3,false,0.637,0.682,0.656,0.573,t2
S013,3,false,0.739,0.752,0.734,0.732,t2
S014,3,false,0.84,0.763,0.942,0.816,t3
S015,3,false,0.878,0.874,0.967,0.793,t3
S016,3,false,0.949,0.92,1.0,0.927,t3
S017,3,false,1.0,1.0,1.0,1.0,t3
S018,3,false,0.853,1.0,1.0,0.56,t3
S019,3,false,0.938,0.986,1.0,0.827,t3
S020,3,false,0.579,0.647,0.661,0.43,t2
S021,3,false,0.424,0.417,0.413,0.443,t1
S022,3,false,0.677,0.753,0.738,0.539,t2
S023,3,false,0.797,0.841,0.7,0.849,t2
S024,3,false,0.981,1.0,1.0,0.943,t3
S025,3,false,0.969,1.0,0.929,0.979,t3
S026,3,false,0.521,0.672,0.473,0.419,t2
S027,3,false,0.56,0.621,0.604,0.455,t2
S028,3,false,0.449,0.48,0.426,0.44,t1
S029,3,false,0.699,0.824,0.625,0.648,t2
S030,3,false,0.938,0.944,0.928,0.942,t3
S031,3,false,0.995,1.0,0.986,1.0,t3
S032,3,false,0.722,0.783,0.747,0.637,t2
S033,3,false,0.588,0.535,0.585,0.643,t2
S034,3,false,0.871,0.839,0.979,0.795,t3
S035,3,false,0.595,0.623,0.708,0.455,t2
S036,3,false,0.513,0.505,0.486,0.548,t2
S037,3,false,0.827,1.0,1.0,0.48,t3
S038,3,false,0.482,0.563,0.376,0.507,t1
S039,3,false,0.678,0.756,0.589,0.688,t2
S040,3,false,0.971,0.952,0.961,1.0,t3
S041,3,false,0.584,0.562,0.612,0.578,t2
S042,3,false,0.543,0.63,0.485,0.515,t2
