student_id,lesson,absent,score,concept,calculate,interpret,tier
S001,2,false,0.451,0.429,0.478,0.446,t1
S002,2,false,0.274,0.262,0.305,0.256,t1
S003,2,false,0.394,0.327,0.513,0.341,t1
S004,2,false,0.215,0.277,0.221,0.147,t1
S005,2,false,1.0,1.0,1.0,1.0,t3
S006,2,false,0.558,0.604,0.534,0.536,t2
S007,2,false,0.526,0.479,0.441,0.657,t2
S008,2,false,0.254,0.152,0.345,0.266,t1
S009,2,false,0.947,0.915,1.0,0.925,t3
S010,2,false,0.996,1.0,1.0,0.989,t3
S011,2,false,0.358,0.307,0.306,0.462,t1
S012,2,false,0.594,0.639,0.613,0.53,t2
S013,2,false,0.696,0.709,0.691,0.689,t2
S014,2,false,0.817,0.74,0.919,0.793,t3
S015,2,false,0.855,0.851,0.944,0.77,t3
S016,2,false,0.923,0.89,0.981,0.897,t3
S017,2,true,,,,,t3
S018,2,false,0.857,1.0,1.0,0.57,t3
S019,2,false,0.909,0.943,1.0,0.784,t3
S020,2,false,0.556,0.624,0.638,0.407,t2
S021,2,false,0.401,0.394,0.39,0.42,t1
S022,2,false,0.647,0.723,0.708,0.509,t2
S023,2,false,0.767,0.811,0.67,0.819,t2
S024,2,false,0.962,0.985,1.0,0.9,t3
S025,2,false,0.941,1.0,0.886,0.936,t3
S026,2,false,0.498,0.649,0.45,0.396,t1
S027,2,false,0.537,0.598,0.581,0.432,t2
S028,2,false,0.419,0.45,0.396,0.41,t1
S029,2,false,0.669,0.794,0.595,0.618,t2
S030,2,false,0.895,0.901,0.885,0.899,t3
S031,2,false,0.979,1.0,0.943,0.993,t3
S032,2,false,0.699,0.76,0.724,0.614,t2
S033,2,false,0.565,0.512,0.562,0.62,t2
S034,2,true,,,,,t3
S035,2,false,0.565,0.593,0.678,0.425,t2
S036,2,false,0.47,0.462,0.443,0.505,t1
S037,2,false,0.828,0.993,1.0,0.49,t3
S038,2,false,0.459,0.54,0.353,0.484,t1
S039,2,false,0.655,0.733,0.566,0.665,t2
S040,2,false,0.951,0.922,0.931,1.0,t3
