student_id,lesson,absent,score,concept,calculate,interpret,tier
S001,5,false,0.58,0.558,0.607,0.575,t2
S002,5,false,0.343,0.331,0.374,0.325,t1
S003,5,false,0.463,0.396,0.582,0.41,t1
S004,5,false,0.305,0.367,0.311,0.237,t1
S005,5,false,1.0,1.0,1.0,1.0,t3
S006,5,false,0.687,0.733,0.663,0.665,t2
S007,5,false,0.655,0.608,0.57,0.786,t2
S008,5,false,0.323,0.221,0.414,0.335,t1
S009,5,false,0.993,0.984,1.0,0.994,t3
S010,5,false,1.0,1.0,1.0,1.0,t3
S011,5,false,0.448,0.397,0.396,0.552,t1
S012,5,false,0.723,0.768,0.742,0.659,t2
S013,5,false,0.825,0.838,0.82,0.818,t3
S014,5,false,0.886,0.809,0.988,0.862,t3
S015,5,false,0.92,0.92,1.0,0.839,t3
S016,5,false,0.989,0.98,1.0,0.987,t3
S017,5,false,1.0,1.0,1.0,1.0,t3
S018,5,false,0.847,1.0,1.0,0.54,t3
S019,5,false,0.971,1.0,1.0,0.913,t3
S020,5,false,0.625,0.693,0.707,0.476,t2
S021,5,false,0.47,0.463,0.459,0.489,t1
S022,5,false,0.737,0.813,0.798,0.599,t2
S023,5,false,0.857,0.901,0.76,0.909,t3
S024,5,false,1.0,1.0,1.0,1.0,t3
S025,5,false,1.0,1.0,1.0,1.0,t3
S026,5,false,0.567,0.718,0.519,0.465,t2
S027,5,false,0.606,0.667,0.65,0.501,t2
S028,5,false,0.509,0.54,0.486,0.5,t2
S029,5,false,0.759,0.884,0.685,0.708,t2
S030,5,false,1.0,1.0,1.0,1.0,t3
S031,5,false,1.0,1.0,1.0,1.0,t3
S032,5,false,0.768,0.829,0.793,0.683,t2
S033,5,false,0.634,0.581,0.631,0.689,t2
S034,5,false,0.918,0.899,1.0,0.855,t3
S035,5,false,0.655,0.683,0.768,0.515,t2
S036,5,false,0.599,0.591,0.572,0.634,t2
S037,5,false,0.82,1.0,1.0,0.46,t3
S038,5,false,0.528,0.609,0.422,0.553,t2
S039,5,false,0.724,0.802,0.635,0.734,t2
S040,5,false,1.0,1.0,1.0,1.0,t3
S041,5,false,0.644,0.622,0.672,0.638,t2
S042,5,false,0.629,0.716,0.571,0.601,t2
S043,5,false,0.975,0.925,1.0,1.0,t3
S044,5,false,0.724,1.0,0.28,0.892,t2
S045,5,false,0.875,0.819,0.952,0.855,t3
S046,5,false,0.84,0.734,0.964,0.822,t3
S047,5,false,0.83,0.806,0.967,0.717,t3
S048,5,false,0.823,0.862,0.874,0.732,t3
S049,5,false,0.553,0.535,0.567,0.558,t2
S050,5,false,0.737,0.72,0.681,0.811,t2
S051,5,false,0.733,0.802,0.685,0.713,t2
S052,5,false,0.974,1.0,1.0,0.922,t3
