student_id,lesson,absent,score,concept,calculate,interpret,tier
S001,1,false,0.408,0.386,0.435,0.403,t1
S002,1,false,0.251,0.239,0.282,0.233,t1
S003,1,false,0.371,0.304,0.49,0.318,t1
S004,1,false,0.185,0.247,0.191,0.117,t1
S005,1,false,1.0,1.0,1.0,1.0,t3
S006,1,false,0.515,0.561,0.491,0.493,t2
S007,1,false,0.483,0.436,0.398,0.614,t1
S008,1,false,0.231,0.129,0.322,0.243,t1
S009,1,false,0.93,0.892,0.997,0.902,t3
S010,1,false,0.977,0.983,0.99,0.959,t3
S011,1,false,0.328,0.277,0.276,0.432,t1
S012,1,false,0.551,0.596,0.57,0.487,t2
S013,1,false,0.653,0.666,0.648,0.646,t2
S014,1,false,0.794,0.717,0.896,0.77,t2
S015,1,false,0.832,0.828,0.921,0.747,t3
S016,1,false,0.893,0.86,0.951,0.867,t3
S017,1,false,0.983,1.0,0.949,1.0,t3
S018,1,false,0.86,1.0,1.0,0.58,t3
S019,1,false,0.88,0.9,1.0,0.741,t3
S020,1,false,0.533,0.601,0.615,0.384,t2
S021,1,false,0.378,0.371,0.367,0.397,t1
S022,1,false,0.617,0.693,0.678,0.479,t2
S023,1,false,0.737,0.781,0.64,0.789,t2
S024,1,false,0.927,0.942,0.982,0.857,t3
S025,1,false,0.912,1.0,0.843,0.893,t3
S026,1,false,0.475,0.626,0.427,0.373,t1
S027,1,false,0.514,0.575,0.558,0.409,t2
S028,1,false,0.389,0.42,0.366,0.38,t1
S029,1,false,0.639,0.764,0.565,0.588,t2
S030,1,false,0.852,0.858,0.842,0.856,t3
S031,1,false,0.95,1.0,0.9,0.95,t3
S032,1,false,0.676,0.737,0.701,0.591,t2
S033,1,false,0.542,0.489,0.539,0.597,t2
S034,1,false,0.811,0.779,0.919,0.735,t3
S035,1,false,0.535,0.563,0.648,0.395,t2
S036,1,false,0.427,0.419,0.4,0.462,t1
S037,1,false,0.817,0.95,1.0,0.5,t3
S038,1,false,0.436,0.517,0.33,0.461,t1
S039,1,false,0.632,0.71,0.543,0.642,t2
S040,1,false,0.931,0.892,0.901,1.0,t3
S041,1,false,0.524,0.502,0.552,0.518,t2
S042,1,false,0.457,0.544,0.399,0.429,t1
S043,1,false,0.878,0.753,0.953,0.927,t3
S044,1,false,0.7,1.0,0.3,0.8,t2
S045,1,false,0.783,0.727,0.86,0.763,t2
S046,1,false,0.72,0.614,0.844,0.702,t2
S047,1,false,0.71,0.686,0.847,0.597,t2
S048,1,false,0.651,0.69,0.702,0.56,t2
S049,1,false,0.381,0.363,0.395,0.386,t1
S050,1,false,0.645,0.628,0.589,0.719,t2
S051,1,false,0.641,0.71,0.593,0.621,t2
S052,1,false,0.897,1.0,0.889,0.802,t3
S053,1,false,0.56,0.577,0.545,0.559,t2
S054,1,false,0.711,0.629,0.785,0.719,t2
S055,1,false,0.384,0.389,0.478,0.285,t1
S056,1,false,0.37,0.444,0.357,0.31,t1
S057,1,false,0.539,0.596,0.569,0.453,t2
S058,1,false,0.887,0.924,0.801,0.935,t3
S059,1,false,0.131,0.119,0.072,0.201,t1
S060,1,false,0.705,0.782,0.679,0.654,t2
S061,1,false,0.668,0.779,0.641,0.584,t2
S062,1,false,0.413,0.408,0.408,0.424,t1
S063,1,false,0.437,0.353,0.546,0.413,t1
S064,1,false,0.73,0.695,0.822,0.672,t2
S065,1,false,0.597,0.54,0.582,0.668,t2
S066,1,false,0.681,0.681,0.808,0.554,t2
S067,1,false,0.799,0.695,0.852,0.849,t2
S068,1,false,0.709,0.743,0.71,0.673,t2
S069,1,false,0.889,0.863,0.901,0.902,t3
S070,1,false,0.706,0.597,0.83,0.692,t2
S071,1,false,0.815,0.914,0.761,0.771,t3
S072,1,false,0.604,0.541,0.582,0.69,t2
S073,1,false,0.689,0.788,0.676,0.602,t2
S074,1,false,0.3,0.4,0.3,0.2,t1
S075,1,false,0.902,0.959,0.913,0.833,t3
S076,1,false,0.775,0.831,0.69,0.804,t2
S077,1,false,0.739,0.692,0.847,0.679,t2
S078,1,false,0.995,1.0,1.0,0.986,t3
S079,1,false,0.367,0.385,0.41,0.305,t1
S080,1,false,0.55,0.523,0.577,0.551,t2
S081,1,false,0.49,0.507,0.395,0.569,t1
S082,1,false,0.49,0.373,0.614,0.483,t1
